1#CrowdStrike#         Open                  8299
2#Wrike#                 Open                  1072
3    #ForgeRock#             Open                  492
4    #JFrog#                 Open                  1737
5    #1Password#             Open                  2003
6    #Databricks#            Open                  8649
7    #Datadog#               Open                  6638
8    #Sigma Computing#           Open                  531
9    #Mindtickle#            Open                  778
10   #Adobe#                 Open                 36909
11   #Vanta#                 Open                  536
12   #Intercom#              Open                  1418
13   #LeanIX#                Open                  587
14   #Odoo#                  Open                  4342
15   #BambooHR#              Open                  1526
16   #PingCAP#                 Open                  407
17   #Cribl#                   Open                  743
18   #JumpCloud#               Open                  738
19   #Workato#                 Open                  937
20   #Grafana Labs#            Open                  1294
22   #Abnormal Security#             Open                  690
23   #Seismic#                 Open                  1351
24   #Lightspeed Commerce#             Open                  2770
25   #OneTrust#                Open                  2608
26   #Genesys#                 Open                  7887
27   #Notion#                  Open                  3468
28   #Snowflake#               Open                  7870
29   #Dataiku#                 Open                  1319
30   #CleverTap#               Open                  671
31   #Atlassian#               Open                 23580
32   #TransPerfect#           Open                 11152
33   #dbt Labs#               Open                  451
34   #HighRadius#             Open                  4434
35   #Elastic#                Open                  3992
36   #Docker, Inc#            Open                  892
37   #Datavant#               Open                  
39   #Gorgias#                Open                  389
40   #Workday#                Open                 20965
41   #AlphaSense#             Open                  1780
42   #BeyondTrust#            Open                  1505
43   #NinjaOne#               Open                  1092
44   #Cvent#                  Open                  5908
45   #Insider#               Open                  1291
46   #Box#                    Open                  3404
47   #Birdeye#                Open                  1153
48   #Algolia#               Open                  785
49   #Figma#                 Open                  8643
50   #PandaDoc#              Open                  772
51   #Chainalysis#           Open                  777
52   #Apollo.io#             Open                  1455
53   #Perforce Software#             Open                  1028
54   #Freshworks#            Open                  8551
55   #NICE#                  Open                 11492
56   #Rapid7#                Open                  2993
57   #Trellix#               Open                  3383
58   #D2L#                   Open                  1228
59   #Verkada#               Open                  2133
60   #Icertis#               Open                  2322
61   #Xero#                  Open                  5397
62   #Autodesk#              Open                 14652
63   #Braze#                 Open                  1725
64   #Cloudinary#                 Open                  441
65   #Watershed#                  Open                  442
66   #Xsolla#                     Open                  893
67   #ZoomInfo#                   Open                  4169
68   #Avetta#                     Open                  842
69   #Dashlane#                   Open                  344
70   #Docebo#                     Open                  950
71   #Rippling#                   Open                  3061
72   #Text#                       Open                  345
73   #Sprout Social, Inc.#            Open                  1687
74   #Restaurant365#              Open                  2277
75   #HubSpot#                    Open                 10343
76   #Sanity#                     Open                  176
77   #Metabase#                   Open                    91
78   #Constant  Contact#                Open                  1099
79   #Tulip Interfaces#           Open                  366
80   #Oneflow#                Open                 184
81   #DroneDeploy#            Open                 29
82   #Samsara#                Open                 3620
83   #Podium#                 Open                 1134
84   #SmartBear#              Open                 864
85   #Retool#                 Open                 366
86   #New Relic#              Open                 2496
87   #FloQast#                Open                 674
88   #Descript#               Open                 161
89   #Matterport#             Open                 593
90   #Storyblok#              Open                 235
91   #SPS Commerce#           Open                 2745
92   #Moveworks#              Open                 574
93   #Outreach#               Open                 1294
94   #Axis Communications#                 Open                 4660
95   #ClickUp#                Open                 1095
96   #Netskope#                  Open                 2614
97   #EDB#                       Open                 1289
98   #Groove#           Open                   77
99   #Tricentis#                 Open                 1387
100   #Dialpad#                   Open                 1232
